"","name","ses.mean","ses.sd","race.mean","race.sd","N"
"102","Samara",50.6363636363636,31.1296409464444,67.6666666666667,27.2754904805098,11
"103","Yolanda",46,21.5962959787089,65.9166666666667,16.0968053618457,31
"104","Iyesha",35.55,23.0662090513374,76.8214285714286,24.0463342419628,20
"105","Lashonda",35.1388888888889,28.1741043997881,84.8372093023256,19.4690599872845,36
"106","Cristopher",65.9666666666667,23.7319562431426,34.3333333333333,24.919453578814,30
"107","Benjamin",67.4230769230769,17.758768148547,26.3461538461538,20.0018845265986,26
"108","Xavier",44.125,30.7026057526067,54.6818181818182,27.242100407862,16
"109","Nicholas",67.35,14.3169939508779,26.9230769230769,16.8378694066039,20
"110","Jonathan",68.4117647058823,23.8355271169147,24.1739130434783,18.80196356746,17
"111","Joshua",68.2307692307692,14.5896872604924,26.6666666666667,18.01633245958,13
"112","Alexander",69,25.385449624373,24.8636363636364,17.0916171447694,20
"113","Hakim",59,17.9572141063568,80.4444444444444,18.6239005904406,14
"114","Rasheed",45.05,21.6636367652049,69.0833333333333,21.2703440553246,20
"115","Dewayne",32.3076923076923,16.7015429964282,81.0625,14.3996807760316,26
"116","Alvin",50.6428571428571,25.1322873637054,41.3684210526316,26.1517165918751,14
"117","Kyle",72.3529411764706,13.62874341452,20.1052631578947,16.2100611310181,17
"118","Logan",70.3846153846154,25.5099276803446,16.2777777777778,15.3078432628335,13
"119","Harley",50.5238095238095,14.5795028983126,31.304347826087,16.3496866319947,21
"120","Shawn",53.2727272727273,26.4691930707791,38.8823529411765,28.9738726116763,11
"121","Conner",69.9655172413793,23.1400746365951,17.5806451612903,17.7177391212844,29
"122","Zackary",61.7666666666667,21.6312088289651,33.8275862068966,24.7199586302203,30
"123","Braydon",62.8636363636364,21.9421218198403,40.1666666666667,29.699460786595,22
"124","Brendon",55.5454545454545,22.1159870482166,36.6666666666667,25.809783562367,22
"125","Brylee",52.0434782608696,24.328207087228,39.3478260869565,31.1952920335631,23
"126","Jaysen",31.9411764705882,20.8370780948148,61.65,29.8545156594971,17
"127","Bart",45.9,25.8230822898307,28.0434782608696,22.2270888390916,20
"128","Clem",45.7272727272727,18.5425683179769,37.7083333333333,26.568171815599,22
"129","Trent",56,18.8127616260878,38.6875,27.671386758912,26
"130","Tyler",62.9130434782609,19.2564346824598,33,25.219040425837,23
"131","Ricky",41.55,31.4834543012174,28.7,19.9554767578121,20
"132","Lukas",55.5,22.4353772833477,23.6470588235294,19.6084840581526,14
"133","Andre",48.2272727272727,15.5989371377296,70.8,21.2151675301736,22
"134","Darius",50.1176470588235,19.6782950002699,78.3684210526316,17.3243904055518,17
"135","Malik",55.5294117647059,23.0356182005683,78.96,15.5950846957196,17
